,index,PNW
0,365,57790.15842439988
1,366,76165.70370129694
2,367,79423.19397952012
3,368,78236.63851952495
4,369,81868.60484324337
5,370,73785.22224943925
6,371,83444.6368677376
7,372,83247.45051822634
8,373,78640.38988231003
9,374,86430.48205529005
10,375,87761.06911657646
11,376,89420.9297273263
12,377,89386.50430816348
13,378,90469.92772681464
14,379,94075.20378602369
15,380,94853.95150057317
16,381,93334.00159914044
17,382,93653.96656238101
18,383,96353.8277404983
19,384,98028.76782647372
20,385,98977.47685757952
21,386,125785.7977760507
22,387,131816.10485084832
23,388,137152.10539083273
24,389,136361.76423987103
25,390,132978.45084615113
26,391,138713.07702769755
27,392,137362.74528279743
28,393,131078.0104000928
29,394,132428.43560313704
30,395,139179.39680640455
31,396,134457.75768058305
32,397,137575.26622976654
33,398,135200.50934927625
34,399,129307.59250273765
35,400,121359.7195052658
36,401,136344.19423414557
37,402,138755.3653013103
38,403,131878.15433753375
39,404,127409.027105977
40,405,132101.8771908283
41,406,141452.89601560248
42,407,148964.4204633938
43,408,171238.0403712648
44,409,194495.8462049293
45,410,194859.49835768878
46,411,182249.73427176411
47,412,173440.36865597672
48,413,159566.37854936998
49,414,159904.19841844443
50,415,157733.89910989793
51,416,157196.68906866875
52,417,153287.79869852916
53,418,150006.20513641913
54,419,145062.14624312465
55,420,147297.04127809592
56,421,154417.87346740812
57,422,170830.02019980305
58,423,158750.28868374825
59,424,174150.48261729977
60,425,126682.84672021755
61,426,116100.92621208954
62,427,110979.83755916511
63,428,117379.02297915134
64,429,150797.60820934156
65,430,175286.91811306024
66,431,184512.21978079004
67,432,194784.95152911052
68,433,210200.41200720277
69,434,207346.35817497602
70,435,203255.95416701358
71,436,200423.31559821765
72,437,209673.66078768915
73,438,206277.93723083986
74,439,216228.55082674167
75,440,218278.987993609
76,441,222221.32817373046
77,442,209082.03996197108
78,443,211542.97495275858
79,444,207523.92192556057
80,445,213496.16276601749
81,446,201664.67956093745
82,447,206520.89074724365
83,448,195747.8653785143
84,449,186032.15429646894
85,450,185696.59851738485
86,451,187317.91963455244
87,452,197552.93874355592
88,453,193562.53441948476
89,454,184496.4733752954
90,455,148004.77783353522
91,456,114405.7188973318
92,457,121725.19630143672
93,458,116310.49717207291
94,459,120236.83325834072
95,460,117234.83832868919
96,461,131337.72116995655
97,462,152714.10444787293
98,463,151636.918627261
99,464,179795.40349401254
100,465,173845.679825438
101,466,171704.624064767
102,467,167404.79711579494
103,468,159900.57974265408
104,469,163030.74012577132
105,470,126214.90633950711
106,471,134050.05974950944
107,472,155799.37243618554
108,473,150948.22475655444
109,474,146969.35575188228
110,475,144668.74349251148
111,476,129452.90062612479
112,477,138830.26979641238
113,478,151197.90740172582
114,479,159077.83022242578
115,480,159370.17100730547
116,481,173524.30695175484
117,482,202570.9593956981
118,483,216845.3332962583
119,484,233721.02950661504
120,485,158941.6564303807
121,486,175780.17600160663
122,487,183234.97873759407
123,488,206161.82428012634
124,489,200357.06509105404
125,490,233922.6238700032
126,491,234359.38630376276
127,492,250036.86342725583
128,493,226694.17300313356
129,494,215447.4133306741
130,495,165479.7153443452
131,496,163860.89552971095
132,497,141461.92790701392
133,498,160199.4712835403
134,499,139944.1380429887
135,500,191706.76434818516
136,501,191758.21568394534
137,502,218072.58240796096
138,503,203413.86681456462
139,504,231871.18227659905
140,505,232281.2240698632
141,506,240187.1149275428
142,507,233278.76525074584
143,508,258385.08185664433
144,509,262862.2212325268
145,510,283296.4531971273
146,511,293488.31431408087
147,512,289016.15115382115
148,513,287898.551656887
149,514,286430.8610873563
150,515,284013.37424068234
151,516,301331.03288974345
152,517,305386.2995188697
153,518,316998.1914491457
154,519,318055.86475442845
155,520,319121.49030120583
156,521,325121.7071366118
157,522,323290.5139367521
158,523,319187.74472389906
159,524,320229.67534886464
160,525,319995.48639806197
161,526,325517.7064591823
162,527,322963.8562972063
163,528,323771.85700524074
164,529,326217.99542167806
165,530,320892.5112150875
166,531,307244.5349274326
167,532,300103.97172688216
168,533,292889.2866375076
169,534,307053.0886043106
170,535,312450.57658080314
171,536,306145.3808302729
172,537,297763.8781571813
173,538,296884.42629422154
174,539,291641.4734593218
175,540,296592.66349287727
176,541,292732.42573906196
177,542,294893.3200246857
178,543,289108.2008912412
179,544,295724.43467988074
180,545,289042.1325572446
181,546,276659.7496276324
182,547,189066.6206047055
183,548,171313.29585110478
184,549,157657.8749694985
185,550,140947.83989120243
186,551,137351.24799825958
187,552,162974.07735214796
188,553,179831.84033659217
189,554,165528.83012116986
190,555,167630.37189617843
191,556,164616.2293874218
192,557,160345.52367162294
193,558,170138.89062366448
194,559,146174.5765402307
195,560,126637.82761409417
196,561,122055.57988301571
197,562,121425.6108847747
198,563,130111.88951691838
199,564,115773.21449011684
200,565,127311.33678522863
201,566,117806.4103694044
202,567,114154.80618163486
203,568,116773.56777709126
204,569,105327.25802524011
205,570,116934.45017780052
206,571,107194.30272994132
207,572,106613.97995884929
208,573,91128.01737449082
209,574,84963.09055015662
210,575,71542.08328952154
211,576,81427.21081419248
212,577,75314.30081584764
213,578,61331.67409075252
214,579,77251.17991642625
215,580,80632.77542282213
216,581,77121.44133595159
217,582,71860.47697494311
218,583,73359.72070286027
219,584,64461.2120041819
220,585,68134.9421169117
221,586,76638.22397489303
222,587,67307.46530252756
223,588,67691.68321624458
224,589,65760.96878217882
225,590,66520.47459841405
226,591,72404.19440833143
227,592,80411.37368217103
228,593,78284.68973381007
229,594,80362.35918542213
230,595,78013.29324844248
231,596,86915.85114260032
232,597,77644.97293042229
233,598,86912.7121100108
234,599,85965.26390814026
235,600,88808.21225900121
236,601,88591.35309238288
237,602,84341.82580812047
238,603,84790.78895345153
239,604,75999.39016757626
240,605,80610.07218917288
241,606,86558.95004339056
242,607,118389.06354071331
243,608,88304.3708731464
244,609,48343.32886482401
245,610,37818.73458267095
246,611,41055.95777722543
247,612,41724.75851267399
248,613,37497.861132167425
249,614,40673.60771159791
250,615,32944.25983890648
251,616,35401.049950965375
252,617,29817.434453846683
253,618,24728.1957332155
254,619,21580.5437490139
255,620,25835.850759289984
256,621,45817.39170653133
257,622,46150.7678003941
258,623,54635.79839715839
259,624,48586.519663535815
260,625,50837.454820309824
261,626,43629.26020037159
262,627,46227.52757268582
263,628,55963.98153435899
264,629,57493.15620057525
265,630,56172.59500079445
266,631,53653.231017906015
267,632,53991.15358050889
268,633,46973.41876936602
269,634,48805.854989814165
270,635,55680.19514121054
271,636,89781.81758139259
272,637,75965.17674142907
273,638,79350.50775931809
274,639,85445.40194751626
275,640,91076.22233708437
276,641,88192.42143242298
277,642,84362.6261638221
278,643,88369.8753571492
279,644,90162.28647527384
280,645,91180.607985977
281,646,85303.30036396874
282,647,87161.37762415256
283,648,91681.76333810289
284,649,82409.02787619692
285,650,78914.8947634645
286,651,80683.15033709724
287,652,89203.25698656523
288,653,92007.55288653277
289,654,89036.22554742369
290,655,87580.1195125487
291,656,99856.3140844112
292,657,101607.14117409725
293,658,92243.47807540325
294,659,99139.17021168565
295,660,98731.15820809294
296,661,94823.39797373
297,662,96174.15397755045
298,663,96360.62210573074
299,664,101752.28047021781
300,665,96562.48758010917
301,666,94666.36838033688
302,667,93385.6338944952
303,668,99481.12781517302
304,669,91668.95454934756
305,670,71019.80461232948
306,671,69463.40238083966
307,672,76500.3087673971
308,673,81303.80318277563
309,674,84445.96993391984
310,675,81729.73854733256
311,676,79222.17167672905
312,677,78176.24050119666
313,678,75003.2884141526
314,679,70457.60412781818
315,680,70480.73278365502
316,681,64696.54024237735
317,682,62229.018229823676
318,683,59685.91917166712
319,684,57485.5629432596
320,685,57067.884488602285
321,686,59754.7330294064
322,687,58236.30176945773
323,688,54700.75590442371
324,689,51562.288658227306
325,690,51503.985623244895
326,691,48585.732411191566
327,692,48694.827603035024
328,693,52875.884115191235
329,694,49067.0634801821
330,695,48489.98733640561
331,696,45022.279742174185
332,697,38239.693254869926
333,698,37059.6051576586
334,699,41412.77425044085
335,700,61885.318878671766
336,701,70853.11782105322
337,702,78640.49341972158
338,703,78520.66915429835
339,704,78785.81697385787
340,705,92036.6438823473
341,706,91579.39659642812
342,707,89282.97059071908
343,708,103304.89086340767
344,709,109472.11895035213
345,710,96979.30072036752
346,711,111306.2231587382
347,712,99578.96406891642
348,713,108569.944961675
349,714,107423.218627558
350,715,105814.88927290321
351,716,132060.4397884912
352,717,138237.89757924355
353,718,141330.0276924163
354,719,129272.35561527943
355,720,133649.90720941403
356,721,118694.50040325118
357,722,116652.4784845415
358,723,113166.47315044716
359,724,108674.57593065017
360,725,107694.99680351565
361,726,99698.13095940859
362,727,97831.22317275856
363,728,93142.43575758746
364,729,92316.18301742559
